PRODUCTO;ESPESOR;PESO/M2;MEDIDAS;Pallet terrestre;Pallet container;TAMAÑO CAJA ;UNIDADES CAJA 
FITNESS;5mm;7,5 kg;102x102cm;150;160;;
FITNESS ECO;5mm;7,1 kg;102x102cm;150;160;;
FITNESS PRO;7mm;10,5 kg;102x102cm;100;120;;
FITNESS PRO ECO;7mm;9,5 kg;102x102cm;100;120;;
FITNESS XTREME;10mm;15 kg;102x102cm;60;80;;
FITNESS XTREME ECO;10mm;13,5 kg;102x102cm;60;80;;
FITNESS MONSTER ECO;14mm;18,5 kg;102x102cm;50;60;;
FITNESS MONSTER ;14mm;21 kg;102x102cm;50;60;;
Fitness Beast;20 mm;19 kg;102x102cm;40;50;;
Fitness Beast ECO;20 mm;18,5 kg;102x102cm;40;50;;
Fitness Beast;30 mm;27 kg;102x102cm;30;40;;
Fitness Beast ECO;30 mm;26,5 kg ;102x102cm;30;40;;
TRANSIT;3 mm;4,5 kg;102x102cm;200;250;;
TRANSITECO;3 mm;4,5kg;102x102cm;200;250;;
TURFLEX;16 mm;3,3 kg;;;;;
CONFORTSONIC;10 mm;1,45 kg;184x92cm;100;100;;
CONFORTSONIC;15 mm;2,15 kg;184x92cm;65;65;;
CONFORTSONIC;20 mm;2,9 kg;184x92cm;50;50;;
CONFORTSONIC;30 mm;4,5kg;184x92cm;30;30;;
BASICFLEX;15 mm;12 kg;102x102cm;65;65;;
BASICFLEX;20 mm;16 kg;102x102cm;50;50;;
BASICFLEX;30 mm;24 kg;102x102cm;30;30;;
TATAMI / JUNIOR / STRETCHING;20 mm;2,5kg;102x102cm;50;50;;
TATAMI PRO;30 mm;3,9kg;102x102cm;30;30;;
ACTION;7 mm;1,65kg;147x102cm;130;130;;
MAT30 (Rugoso);28mm;9,3kg;183x115;30;30;;
MAT30 (Buffalo);28mm;9,3kg;188x105;30;30;;
EVA MAT S;9mm;0,99kg;120x50;;;123x63x47 cm;40
EVA MAT M;9mm;0,99kg;140x60;;;143x63x47 cm;40
EVA MAT L;9mm;0,99kg;160x60;;;163x63x47 cm;40
EVA MAT XL;9mm;0,99kg;180x60;;;183x63x47 cm;40
EVA MAT S;19mm;2,1kg;120x50;;;123x63x47 cm;20
EVA MAT M;19mm;2,1kg;140x60;;;143x63x47 cm;20
EVA MAT L;19mm;2,1kg;160x60;;;163x63x47 cm;20
EVA MAT XL;19mm;2,1kg;180x60;;;183x63x47 cm;20
YOGA MAT PRO;4mm;1,5kg;185x65;;;;